Artifact, Size (Bytes)
lexmodelbuildingservice-jvm, 1700908
mediaconvert, 647
redshiftdata-jvm, 584909
elasticache-jvm, 3888536
omics-jvm, 3856373
backup, 647
connectcampaigns, 647
mediapackagevod, 647
sagemaker-jvm, 21842484
vpclattice-jvm, 2624382
observabilityadmin-jvm, 1040508
rekognition, 647
applicationdiscoveryservice, 647
evidently-jvm, 1657674
cloudsearchdomain-jvm, 244557
mediapackagev2-jvm, 1758124
bedrockagentcore-jvm, 1499224
chimesdkvoice-jvm, 3035421
m2-jvm, 1650233
launchwizard-jvm, 540558
codegurusecurity-jvm, 664090
pcaconnectorad, 647
neptunedata-jvm, 1722504
iotsitewise, 647
wisdom-jvm, 1758409
imagebuilder-jvm, 3695166
marketplacecatalog-jvm, 1559919
detective, 647
pcs-jvm, 1033469
dynamodb-mapper-schema-generator-plugin, 14419
location-jvm, 2381794
connect, 647
applicationautoscaling, 647
chimesdkvoice, 647
organizations-jvm, 2301061
codeguruprofiler-jvm, 895631
lightsail, 647
acmpca-jvm, 1204734
route53resolver, 647
elasticsearchservice, 647
pinpointemail, 647
xray, 647
qbusiness-jvm, 4335478
eksauth, 647
quicksight-jvm, 22523428
forecast, 647
workspacesweb, 647
transfer, 647
geoplaces, 647
support, 647
marketplaceagreement-jvm, 530695
snowball, 647
launchwizard, 647
costexplorer, 647
dlm, 647
kinesis-jvm, 1427004
ssmguiconnect-jvm, 228323
sagemakera2iruntime-jvm, 284699
route53profiles, 647
voiceid-jvm, 1258793
bcmdataexports, 647
s3tables-jvm, 1058252
bedrock, 647
cloudhsmv2, 647
ssm-jvm, 8137103
codecommit-jvm, 4433965
secretsmanager, 647
licensemanagerlinuxsubscriptions, 647
directconnect, 647
geomaps, 647
dynamodb-mapper-annotations, 647
health-jvm, 754281
location, 647
costoptimizationhub-jvm, 1040474
applicationsignals-jvm, 1407475
oam, 647
route53recoverycluster-jvm, 284920
clouddirectory, 647
managedblockchainquery-jvm, 739048
billing-jvm, 586239
macie2, 647
cloudcontrol-jvm, 549931
connectparticipant, 647
amplify, 647
personalize, 647
personalize-jvm, 2775222
inspector2-jvm, 5122908
elasticloadbalancing-jvm, 1232521
directoryservice, 647
dynamodb-mapper-codegen, 23566
mq-jvm, 971749
ssmquicksetup, 647
customerprofiles, 647
securitylake-jvm, 1173396
arcregionswitch-jvm, 1331196
frauddetector, 647
iotmanagedintegrations, 647
sso, 647
applicationinsights, 647
cleanroomsml-jvm, 2913782
resiliencehub-jvm, 2726494
m2, 647
pi-jvm, 661825
deadline-jvm, 4756858
iotevents-jvm, 1548120
gamelift, 647
transcribestreaming-jvm, 1006150
clouddirectory-jvm, 3203726
cloudwatchevents-jvm, 2070597
pi, 647
